1	0	0
1	0	1
1	1	0
1	1	1
1	2	0
1	2	1
1	3	0
1	3	1
1	4	0
1	4	1
1	5	0
1	5	1
1	7	0
1	7	1
1	8	0
1	8	1
2	0	0
2	0	1
2	1	0
2	1	1
2	2	0
2	2	1
2	3	0
2	3	1
2	4	0
2	4	1
2	5	0
2	5	1
2	7	0
2	7	1
2	8	0
2	8	1
3	0	0
3	0	1
3	1	0
3	1	1
3	2	0
3	2	1
3	3	0
3	3	1
3	4	0
3	4	1
3	5	0
3	5	1
3	7	0
3	7	1
3	8	0
3	8	1
4	0	0
4	0	1
4	1	0
4	1	1
4	2	0
4	2	1
4	3	0
4	3	1
4	4	0
4	4	1
4	5	0
4	5	1
4	7	0
4	7	1
4	8	0
4	8	1
5	0	0
5	0	1
5	1	0
5	1	1
5	2	0
5	2	1
5	3	0
5	3	1
5	4	0
5	4	1
5	5	0
5	5	1
5	7	0
5	7	1
5	8	0
5	8	1
6	0	0
6	0	1
6	1	0
6	1	1
6	2	0
6	2	1
6	3	0
6	3	1
6	4	0
6	4	1
6	5	0
6	5	1
6	7	0
6	7	1
6	8	0
6	8	1
7	0	0
7	0	1
7	1	0
7	1	1
7	2	0
7	2	1
7	3	0
7	3	1
7	4	0
7	4	1
7	5	0
7	5	1
7	7	0
7	7	1
7	8	0
7	8	1
8	0	0
8	0	1
8	1	0
8	1	1
8	2	0
8	2	1
8	3	0
8	3	1
8	4	0
8	4	1
8	5	0
8	5	1
8	7	0
8	7	1
8	8	0
8	8	1
9	0	0
9	0	1
9	1	0
9	1	1
9	2	0
9	2	1
9	3	0
9	3	1
9	4	0
9	4	1
9	5	0
9	5	1
9	7	0
9	7	1
9	8	0
9	8	1
10	0	0
10	0	1
10	1	0
10	1	1
10	2	0
10	2	1
10	3	0
10	3	1
10	4	0
10	4	1
10	5	0
10	5	1
10	7	0
10	7	1
10	8	0
10	8	1
11	0	0
11	0	1
11	1	0
11	1	1
11	2	0
11	2	1
11	3	0
11	3	1
11	4	0
11	4	1
11	5	0
11	5	1
11	7	0
11	7	1
11	8	0
11	8	1
12	0	0
12	0	1
12	1	0
12	1	1
12	2	0
12	2	1
12	3	0
12	3	1
12	4	0
12	4	1
12	5	0
12	5	1
12	7	0
12	7	1
12	8	0
12	8	1
13	0	0
13	0	1
13	1	0
13	1	1
13	2	0
13	2	1
13	3	0
13	3	1
13	4	0
13	4	1
13	5	0
13	5	1
13	7	0
13	7	1
13	8	0
13	8	1
14	0	0
14	0	1
14	1	0
14	1	1
14	2	0
14	2	1
14	3	0
14	3	1
14	4	0
14	4	1
14	5	0
14	5	1
14	7	0
14	7	1
14	8	0
14	8	1
15	0	0
15	0	1
15	1	0
15	1	1
15	2	0
15	2	1
15	3	0
15	3	1
15	4	0
15	4	1
15	5	0
15	5	1
15	7	0
15	7	1
15	8	0
15	8	1
16	0	0
16	0	1
16	1	0
16	1	1
16	2	0
16	2	1
16	3	0
16	3	1
16	4	0
16	4	1
16	5	0
16	5	1
16	7	0
16	7	1
16	8	0
16	8	1
17	0	0
17	0	1
17	1	0
17	1	1
17	2	0
17	2	1
17	3	0
17	3	1
17	4	0
17	4	1
17	5	0
17	5	1
17	7	0
17	7	1
17	8	0
17	8	1
18	0	0
18	0	1
18	1	0
18	1	1
18	2	0
18	2	1
18	3	0
18	3	1
18	4	0
18	4	1
18	5	0
18	5	1
18	7	0
18	7	1
18	8	0
18	8	1
19	0	0
19	0	1
19	1	0
19	1	1
19	2	0
19	2	1
19	3	0
19	3	1
19	4	0
19	4	1
19	5	0
19	5	1
19	7	0
19	7	1
19	8	0
19	8	1
20	0	0
20	0	1
20	1	0
20	1	1
20	2	0
20	2	1
20	3	0
20	3	1
20	4	0
20	4	1
20	5	0
20	5	1
20	7	0
20	7	1
20	8	0
20	8	1
21	0	0
21	0	1
21	1	0
21	1	1
21	2	0
21	2	1
21	3	0
21	3	1
21	4	0
21	4	1
21	5	0
21	5	1
21	7	0
21	7	1
21	8	0
21	8	1
22	0	0
22	0	1
22	1	0
22	1	1
22	2	0
22	2	1
22	3	0
22	3	1
22	4	0
22	4	1
22	5	0
22	5	1
22	7	0
22	7	1
22	8	0
22	8	1
23	0	0
23	0	1
23	1	0
23	1	1
23	2	0
23	2	1
23	3	0
23	3	1
23	4	0
23	4	1
23	5	0
23	5	1
23	7	0
23	7	1
23	8	0
23	8	1
24	0	0
24	0	1
24	1	0
24	1	1
24	2	0
24	2	1
24	3	0
24	3	1
24	4	0
24	4	1
24	5	0
24	5	1
24	7	0
24	7	1
24	8	0
24	8	1
3	6	0
6	6	0
12	6	0
24	6	0
48	6	0
96	6	0
192	6	0
192	6	0
192	6	0
